,index,OBJECTID *,shape *,c5st_seq_no,relateid,strat,elev_top,elev_bot,aquifer,X,Y,strat_num
0,5,10364,Point Z,4143198,634228,OGPR,390.1439875,387.0959876,OPDC,560329.047,4869566.944,2
1,13,8444,Point Z,4173355,641651,ODCR,349.6055888,336.4991892,OPSH,556999.9811,4868091.009,4
2,19,7990,Point Z,4524766,107657,OGSC,390.1439875,344.423989,OSTP,557816,4867594,1
3,20,7993,Point Z,4524767,107657,ODCR,344.423989,332.2319894,OSTP,557816,4867594,4
4,25,11397,Point Z,4526796,148347,ODCR,356.3111886,342.595189,OSTP,559376,4870064,4
5,30,10339,Point Z,4529088,220607,ODCR,349.9103888,335.8895893,OPDC,557797,4869547,4
6,36,11375,Point Z,4529099,220609,OGPR,377.3423879,371.5511881,MTPL,557546,4870055,2
7,38,11372,Point Z,4529101,220609,ODCR,351.4343888,339.5471891,MTPL,557546,4870055,4
8,42,7855,Point Z,4529109,220611,OGPR,380.3903878,368.1983882,OSTP,557369.32,4867293.78,2
9,43,7856,Point Z,4529110,220611,ODCR,349.6055888,336.8039892,OSTP,557369.32,4867293.78,4
10,48,8255,Point Z,4531330,227390,OGCM,363.9311884,350.8247888,OPDC,560528,4867985,3
11,49,8254,Point Z,4531331,227390,ODCR,350.8247888,338.0231892,OPDC,560528,4867985,4
12,56,8407,Point Z,4536897,446647,ODCR,352.6535887,339.5471891,OPDC,558698,4868069,4
13,62,10550,Point Z,4536956,446675,OGSC,390.7535875,363.9311884,OPDC,559828,4869685,1
14,63,10555,Point Z,4536957,446675,OGCM,363.9311884,351.1295888,OPDC,559828,4869685,3
15,64,10549,Point Z,4536958,446675,ODCR,351.1295888,338.0231892,OPDC,559828,4869685,4
16,69,7926,Point Z,4537523,464692,OGSC,392.8871874,351.4343888,OPDC,557885,4867436,1
17,70,7927,Point Z,4537524,464692,ODCR,351.4343888,338.9375892,OPDC,557885,4867436,4
18,77,10588,Point Z,4820175,622683,ODCR,351.4343888,338.0231892,OPDC,557468.072,4869700.313,4
19,84,10382,Point Z,5474243,147038,ODCR,352.3487887,339.8519891,OSTP,558167.0303,4869583.42,4
20,90,8435,Point Z,5655641,665432,OGPR,377.9519879,373.3799881,OPDC,560502.2,4868088.925,2
21,92,8433,Point Z,5655643,665432,ODCR,348.9959888,335.2799893,OPDC,560502.2,4868088.925,4
22,98,9001,Point Z,5682552,684609,OGPR,388.3151876,385.5719877,OSTP,557937.305,4868534.93,2
23,100,8997,Point Z,5682554,684609,ODCR,349.6055888,336.8039892,OSTP,557937.305,4868534.93,4
24,105,8269,Point Z,5787822,701991,OGSC,397.1543873,352.9583887,OSTP,559479.778,4867989.916,1
25,106,8272,Point Z,5787823,701991,ODCR,352.9583887,339.5471891,OSTP,559479.778,4867989.916,4
26,112,10719,Point Z,5801944,665449,ODCR,352.6535887,340.4615891,OPDC,560895.412,4869776.873,4
27,118,7674,Point Z,5905997,721912,OGPR,389.5343875,372.1607881,OPSH,561035.9761,4866984.999,2
28,119,7668,Point Z,5905998,721912,OGCM,372.1607881,353.8727887,OPSH,561035.9761,4866984.999,3
29,120,7667,Point Z,5905999,721912,ODCR,353.8727887,340.7663891,OPSH,561035.9761,4866984.999,4
30,132,7652,Point Z,6195769,767085,ODCR,352.0439887,338.9375892,OPDC,561214.5624,4866971.691,4
31,139,10411,Point Z,6309273,742923,ODCR,352.0439887,338.9375892,OSTP,560053.6925,4869605.24,4
